INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk,Formulation_Role,Biological_Action,Solubility,Usage_Type,pKa,LogP,MW_Daltons,Avg_Time_Category,Avg_Time_Notes,Regional_Restrictions,Activity_Tier,Activity_Tier_Weight
CI 77742,Manganese Violet,Functional,Colorant,0.1,1.0,10.0,Brightening; Colorant; Manganese ammonium phosphate,Manganese ammonium phosphate,Pigmentation; Dullness,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.05,Iron Oxides,,Cosmetic-only,Limited,0.4,0.02,,,,Moderate,4.0,4.0,Low,Colorant,Manganese ammonium phosphate,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
CI 42090,Blue 1,Functional,Colorant,0.001,0.01,0.1,Coloring; Colorant; Synthetic dye,Synthetic dye,,3.0-10.0,Stable,Moderate,1.0,Restricted in some regions,Limited,N/A - Functional/Excipient,0.02,,,Allergen concern,Limited,0.4,0.008,,,,Moderate,4.0,4.0,Medium,Colorant,Synthetic dye,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
CI 19140,Yellow 5,Functional,Colorant,0.001,0.01,0.1,Coloring; Colorant; Synthetic dye,Synthetic dye,,3.0-10.0,Stable,Moderate,1.0,Restricted in some regions,Limited,N/A - Functional/Excipient,0.02,,,Allergen concern,Limited,0.4,0.008,,,,Moderate,4.0,4.0,Medium,Colorant,Synthetic dye,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
CI 16035,Red 40,Functional,Colorant,0.001,0.01,0.1,Coloring; Colorant; Synthetic dye,Synthetic dye,,3.0-10.0,Stable,Moderate,1.0,Restricted in some regions,Limited,N/A - Functional/Excipient,0.02,,,Allergen concern,Limited,0.4,0.008,,,,Moderate,4.0,4.0,Medium,Colorant,Synthetic dye,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Cyclohexasiloxane,D6 silicone,Functional,Volatile silicone,1.0,10.0,50.0,Silky feel; Volatile silicone; Evaporative slip,Evaporative slip,,3.0-10.0,Extremely stable,Low,1.0,Restricted in some regions,Limited,N/A - Functional/Excipient,0.6,Dimethicone,,Environmental scrutiny,Limited,0.4,0.24,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Evaporative slip,Oil,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Dimethiconol,Silicone polymer,Functional,Film former,0.5,3.0,15.0,Long-lasting slip; Film former; Silicone film,Silicone film,,3.0-10.0,Extremely stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.65,Dimethicone,,Build-up perception,Limited,0.4,0.26,,,,Moderate,4.0,4.0,Low,Film Former,Silicone film,Oil,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Ethanol,Alcohol Denat.,Functional,Solvent,1.0,10.0,90.0,Solubilization; Solvent; Antimicrobial,Protein denaturation,,3.0-10.0,Extremely stable,Moderate,0.0,Safe at recommended concentrations,Limited,Immediate,0.4,Propylene Glycol,Barrier products,Barrier disruption risk,Limited,0.4,0.16,,,,Moderate,4.0,4.0,Medium,Solvent,Protein denaturation,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Isopropyl Alcohol,Isopropanol,Functional,Solvent,1.0,10.0,70.0,Solvent; Antimicrobial,Protein denaturation,,3.0-10.0,Extremely stable,High,3.0,Avoid leave-on; rinse-off only,Limited,Immediate,0.2,,Sensitive skin,High irritation,Limited,0.4,0.08,,,,Moderate,4.0,4.0,High,Solvent,Protein denaturation,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Dipropylene Glycol,"1,1'-Oxybis(2-propanol); DPG",Functional,Solvent,1.0,5.0,20.0,Solubilization; Solvent; Carrier solvent,Carrier solvent,Hydration,3.0-10.0,Extremely stable,Low-Moderate,0.0,Safe,Limited,N/A - Functional/Excipient,0.5,Fragrance,,Can cause allergic/irritant dermatitis in a small %; caution in eczema,Limited,0.4,0.2,,,,Moderate,4.0,4.0,High,Solvent,Carrier solvent,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Trisodium EDTA,Chelating agent,Functional,Chelator,0.05,0.2,0.5,Formula stability; Chelator; Metal ion sequestration,Metal ion sequestration,,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.3,Preservatives,,Environmental concern,Limited,0.4,0.12,,,,Moderate,4.0,4.0,Low,Chelating Agent,Metal ion sequestration,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Sodium Phytate,Plant chelator,Functional,Chelator,0.05,0.2,0.5,Natural chelation; Chelator; Metal binding,Metal binding,,3.0-10.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.35,Preservatives,,,Limited,0.4,0.14,,,,Moderate,4.0,4.0,Low,Chelating Agent,Metal binding,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Lactic Acid,2-Hydroxypropanoic acid; Milk acid,Active,AHA; Humectant,2.0,5.0,10.0,Exfoliation / Texture; Hydration; AHA; Keratolysis; NMF support,Keratolysis; NMF support,Uneven Texture; Hydration; Dullness; Aging & Fine Lines; Sensitive Skin,3.5-4.5,Stable,Moderate,1.0,Safe,Limited,4-8 weeks,0.75,Urea,Retinoids,Irritation risk,Limited,0.4,0.3,,,,Limited clinical evidence,7.0,4.0,Medium,Humectant,Keratolysis; NMF support,Water,Leave-on,3.86,-0.72,90.08,Mid (4-8w),4-8 weeks,EU: AHA sun sensitivity warning required,Tier 1: Primary Active,1.0
Sodium Hydroxide,Caustic soda,Functional,pH adjuster,0.01,0.1,1.0,pH neutralization; pH adjuster; Strong base,Strong base,None (functional/excipient ingredient),,Highly stable,High,0.0,Safe at trace amounts,Limited,N/A - Functional/Excipient,0.05,Citric Acid,,Caustic if misused,Limited,0.4,0.02,,,,Moderate,4.0,4.0,High,Skin Conditioning,Strong base,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Potassium Hydroxide,KOH,Functional,pH adjuster,0.01,0.1,1.0,pH neutralization; pH adjuster; Strong base,Strong base,None (functional/excipient ingredient),,Highly stable,High,0.0,Safe at trace amounts,Limited,N/A - Functional/Excipient,0.05,Citric Acid,,Caustic if misused,Limited,0.4,0.02,,,,Moderate,4.0,4.0,High,Skin Conditioning,Strong base,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Tromethamine,Triethanolamine alternative,Functional,Buffer,0.1,0.5,2.0,pH stabilization; Buffer; Amine buffer,Amine buffer,None (functional/excipient ingredient),6.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.2,Carbomer,,,Limited,0.4,0.08,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Amine buffer,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Aminomethyl Propanol,AMP,Functional,pH adjuster,0.1,0.5,2.0,Neutralization; pH adjuster; Amine buffer,Amine buffer,None (functional/excipient ingredient),6.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.2,Carbomer,,,Limited,0.4,0.08,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Amine buffer,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Sodium Polyacrylate,Polyacrylate,Functional,Thickener,0.2,1.0,5.0,Viscosity; Thickener; Water absorption,Water absorption,Uneven Texture,4.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.35,Glycerin,,,Limited,0.4,0.14,,,,Moderate,4.0,4.0,Low,Thickener,Water absorption,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Polyacrylate Crosspolymer-6,Acrylate polymer,Functional,Gel former,0.1,0.5,2.0,Clear gels; Gel former; Polymer network,Polymer network,Uneven Texture,4.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.4,Electrolytes,,,Limited,0.4,0.16,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Polymer network,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Chlorphenesin,"3-(4-Chlorophenoxy)-1,2-propanediol",Functional,Preservative,0.1,0.3,0.5,Preservation; Preservative; Protein synthesis inhibition,Protein synthesis inhibition,None (functional/excipient ingredient),4.0-7.0,Stable,Low,1.0,Safe at recommended concentrations,Limited,N/A - Functional/Excipient,0.3,Phenoxyethanol,,,Limited,0.4,0.12,,,,Moderate,2.0,4.0,Low,Preservative,Protein synthesis inhibition,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Polydeoxyribonucleotide Sodium,PDRN sodium salt,Active,Regenerative,0.1,0.5,2.0,Regenerative healing; Anti-aging; Brightening; Wound healing; Collagen synthesis; A2A receptor activation,A2A receptor activation,Aging & Fine Lines; Barrier Repair; Acne & Oily Skin,6.0-7.5,Heat sensitive,Low,0.0,Avoid pregnancy - use caution,Limited,4-8 weeks,0.9,Peptides,Strong acids,Medical-origin bias,Moderate,0.7,0.36,,,,Moderate clinical evidence (mostly procedure-based RCTs),4.0,6.0,Low,Skin Conditioning,A2A receptor activation,Water,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Salmon DNA Fragment,Marine DNA fragments,Active,Repair; Humectant,0.05,0.2,1.0,Skin regeneration; Barrier Support; Hydration; Cell signaling,Cell signaling,Hydration; Barrier Repair,6.0-7.5,Heat sensitive,Low,0.0,Safe,Limited,4-8 weeks,0.85,Peptides,Acids,Premium pricing,Limited,0.4,0.34,,,,Limited clinical evidence,4.0,4.0,Low,Humectant,Cell signaling,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Exosome-like Vesicles,Plant-derived exosomes,Active,Cell communication,0.01,0.05,0.2,Regeneration; Cell communication; Paracrine signaling,Paracrine signaling,Aging & Fine Lines,6.0-7.5,Highly sensitive,Low,0.0,Avoid pregnancy - use caution,Limited,6-12 weeks,0.9,Growth factors,Acids,Regulatory gray zone,Limited,0.4,0.36,,,,"Emerging clinical data (small cosmetic trials, often with devices)",4.0,4.0,Low,Skin Conditioning,Paracrine signaling,Both,Leave-on,,,,Long (8w+),6-12 weeks,,Tier 2: Secondary Active,0.8
Stem Cell Conditioned Media,Plant stem cell media,Active,Repair; Antioxidant,0.05,0.2,1.0,Skin resilience; Barrier Support; Antioxidant; Growth factor remnants,Growth factor remnants,Aging & Fine Lines; Barrier Repair; UV Damage,5.0-7.0,Unstable,Low,0.0,Safe,Moderate,6-10 weeks,0.75,Peptides,,Marketing misuse,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Growth factor remnants,Both,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 3: Bioactive Base,0.5
Bakuchiol Analog (Babchi Synth),Synthetic bakuchiol,Active,Anti-aging,0.3,1.0,2.0,Anti-aging; RAR pathway modulation,RAR pathway modulation,Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Avoid pregnancy - use caution,Limited,8-12 weeks,0.8,Niacinamide,,?Retinol-like? claims,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,RAR pathway modulation,Both,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Retinyl Retinoate Encapsulated,Encapsulated RR,Active,Anti-aging,0.03,0.1,0.3,Anti-aging; Dual retinoid delivery,Dual retinoid delivery,Aging & Fine Lines,5.5-6.5,Light sensitive,Moderate,1.0,Avoid pregnancy,Limited,8-12 weeks,0.9,Ceramides,Benzoyl Peroxide,Irritation risk,Limited,0.4,0.36,,,,Limited clinical evidence,4.0,4.0,Medium,Skin Conditioning,Dual retinoid delivery,Both,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 3: Bioactive Base,0.5
Hydroxyectoin,"(4S,5S)-5-Hydroxy-2-methyltetrahydropyrimidine-4-carboxylic acid",Active,Advanced barrier repair,0.3,1.0,2.0,Stress protection; Barrier Support; Protein stabilization; TEWL reduction,Protein stabilization,Barrier Repair; Sensitive Skin,5.0-7.0,Highly stable,Low,0.0,Safe,Limited,2-4 weeks,0.9,Ectoin,,Premium cost,Moderate,0.7,0.36,,,,Limited clinical evidence,8.0,6.0,Low,Skin Conditioning,Protein stabilization,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Trehalose Liposomes,Encapsulated trehalose,Active,Hydration,0.5,2.0,5.0,Hydration; Controlled release,Controlled release,Hydration,5.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.75,Ceramides,,Encapsulation cost,Limited,0.4,0.3,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Controlled release,Water,Leave-on,,,,Immediate,Immediate,,Tier 2: Secondary Active,0.8
Niacinamide Microcapsules,Encapsulated B3,Active,Barrier repair,1.0,3.0,5.0,Reduced irritation; Barrier Support; Controlled release,Controlled release,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Ceramides,Strong acids,Delivery premium,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,Controlled release,Water,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Tranexamic Acid Liposome,Encapsulated TXA,Active,Brightening,1.0,3.0,5.0,Melasma control; Brightening; Plasmin inhibition,Plasmin inhibition,Pigmentation; Dullness,5.5-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.85,Niacinamide,,Cost markup,Limited,0.4,0.34,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Plasmin inhibition,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Fermented Ceramide NP,Bio-fermented ceramide,Active,Barrier repair,0.05,0.2,1.0,Barrier Support; SC lipid mimicry,SC lipid mimicry,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.9,Cholesterol,,,Limited,0.4,0.36,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,SC lipid mimicry,Oil,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Postbiotic Peptide Complex,Ferment-derived peptides,Active,Soothing; Repair,0.1,0.5,2.0,Soothing; Barrier Support; Microbiome signaling,Microbiome signaling,Sensitive Skin; Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Panthenol,,Emerging science,Limited,0.4,0.3200000000000001,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,Microbiome signaling,Water,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 3: Bioactive Base,0.5
Water,Aqua,Functional,Solvent,,,,Vehicle; Solvent,Solvent,,3.0-10.0,Stable,Low,0.0,Safe,Limited,Immediate,0.1,,,,Limited,0.4,0.04,,,,Moderate,4.0,4.0,Low,Solvent,Solvent,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Isododecane,"2,2,4,6,6-Pentamethylheptane; Isoparaffin C12",Functional,Emollient solvent,1.0,5.0,20.0,Light emolliency; Hydration; Volatile hydrocarbon,Volatile hydrocarbon,Acne & Oily Skin; Hydration,3.0-10.0,Stable,Low,1.0,Safe,Limited,Immediate,0.4,Silicones,,,Limited,0.4,0.16,,,,Moderate,6.0,4.0,Low,Emollient,Volatile hydrocarbon,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Fragrance,Parfum,Functional,Sensory,0.01,0.1,1.0,Scent; Sensory; Olfactory masking,Olfactory masking,,3.0-10.0,Variable,Moderate-High in sensitive skin,3.0,Use caution on sensitive skin,Limited,Immediate,0.1,,,Common cosmetic contact allergen; avoid if fragrance-sensitive,Limited,0.4,0.04,,,,Moderate,4.0,4.0,High,Skin Conditioning,Olfactory masking,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
BHT,Butylated Hydroxytoluene,Functional,Antioxidant,0.01,0.05,0.1,Formula protection; Antioxidant; Radical scavenger,Radical scavenger,UV Damage; Aging & Fine Lines,4.0-8.0,Stable,Low,1.0,Restricted in some regions,Moderate,N/A - Functional/Excipient,0.3,Butylated Hydroxyanisole,,Controversial perception,Moderate,0.7,0.21,,,,Moderate,5.0,6.0,Low,Antioxidant,Radical scavenger,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
BHA,Butylated Hydroxyanisole,Functional,Antioxidant,0.01,0.05,0.1,Formula protection; Antioxidant; Radical scavenger,Radical scavenger,UV Damage; Aging & Fine Lines,4.0-8.0,Stable,Low,1.0,Restricted in some regions,Moderate,N/A - Functional/Excipient,0.3,Butylated Hydroxytoluene,,Controversial perception,Moderate,0.7,0.21,,,,Moderate,5.0,6.0,Low,Antioxidant,Radical scavenger,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Menthol,"(1R,2S,5R)-2-Isopropyl-5-methylcyclohexan-1-ol",Active,Cooling agent,0.05,0.2,1.0,Cooling sensation; Cooling agent; TRPM8 activation,TRPM8 activation,,4.0-8.0,Volatile,High,1.0,Use caution on sensitive skin,Limited,Immediate,0.2,,,Irritation risk,Limited,0.4,0.08,,,,Moderate,4.0,4.0,High,Skin Conditioning,TRPM8 activation,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Camphor,"(1R,4R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",Active,Cooling agent,0.05,0.2,1.0,Cooling sensation; Cooling agent; Neural stimulation,Neural stimulation,,4.0-8.0,Volatile,High,2.0,Avoid in children,Limited,Immediate,0.2,,,Irritation risk,Limited,0.4,0.08,,,,Moderate,4.0,4.0,High,Skin Conditioning,Neural stimulation,Oil,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Alcohol Denat,Denatured Alcohol,Functional,Solvent,1.0,10.0,60.0,Fast penetration; Solvent; Evaporation,Evaporation,Acne & Oily Skin,3.0-10.0,Volatile,High,2.0,Avoid on barrier-damaged skin,Limited,Immediate,0.15,,,Barrier damage risk,Limited,0.4,0.06,,,,,4.0,4.0,High,Solvent,Evaporation,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Isopropyl Myristate,IPM,Functional,Emollient,0.5,3.0,10.0,Slip; emolliency; Hydration; Lipid lubrication,Lipid lubrication,Hydration,4.0-8.0,Stable,Low-Moderate,5.0,Avoid on acne-prone skin,Limited,Immediate,0.4,,,High comedogenic rating; may trigger acne in prone skin; human data mixed,Limited,0.4,0.16,,,,Moderate,6.0,4.0,Medium,Emollient,Lipid lubrication,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Caprylic Acid,Octanoic acid,Functional,Emollient,0.2,1.0,5.0,Skin softening; Hydration; Fatty acid occlusion,Fatty acid occlusion,Hydration,4.0-7.0,Stable,Low,1.0,Safe,Limited,1-2 weeks,0.6,Capric Acid,,,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Fatty acid occlusion,Both,Leave-on,,,,Short (1-4w),1-2 weeks,,Tier 4: Inert Functional,0.1
Capric Acid,Decanoic acid,Functional,Emollient,0.2,1.0,5.0,Barrier Support; Hydration; Fatty acid occlusion,Fatty acid occlusion,Hydration; Barrier Repair,4.0-7.0,Stable,Low,1.0,Safe,Limited,1-2 weeks,0.6,Caprylic Acid,,,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Fatty acid occlusion,Both,Leave-on,,,,Short (1-4w),1-2 weeks,,Tier 4: Inert Functional,0.1
Retinol,Vitamin A,Active,Skin conditioning,0.01,0.025,1.0,Anti-aging; Active; RAR/RXR Binding,RAR/RXR Binding,Aging & Fine Lines; Acne & Oily Skin; Pigmentation; Uneven Texture; Large Pores; Dullness,4.0-6.5,,Moderate,0.0,Insufficient data; consult doctor before use in pregnancy,Strong,12-24 weeks,0.95,Ferulic Acid,Benzoyl Peroxide,Teratogenic risk in pregnancy; use SPF daily,Strong,1.0,0.95,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,RAR/RXR Binding,Oil,Leave-on,,5.68,286.45,Short (1-4w),12-24 weeks,"EU: 0.3% face / 0.05% body (Reg. EU 2022/1181, eff. Nov 2025)",Tier 1: Primary Active,1.0
L-Ascorbic Acid,Vitamin C,Active,Skin conditioning,5.0,15.0,20.0,Brightening; Active; Tyrosinase Inhib,Tyrosinase Inhib,Pigmentation; Dullness; Aging & Fine Lines; UV Damage,2.5-3.5,,Moderate,0.0,Safe,Strong,4-8 weeks,0.9,Vitamin E,High pH Actives,Oxidation risk; irritation at low pH; photosensitivity risk at high %,Strong,1.0,0.9,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Tyrosinase Inhib,Water,Leave-on,4.17,-1.85,176.12,Mid (4-8w),4-8 weeks,,Tier 1: Primary Active,1.0
Niacinamide,Vitamin B3,Active,Skin conditioning,2.0,5.0,10.0,Barrier Support; Active; Ceramide Synth,Ceramide Synth,Pigmentation; Dullness; Aging & Fine Lines; Barrier Repair; Acne & Oily Skin,5.0-7.0,,Low,0.0,Safe,Strong,2-4 weeks,0.9,Zinc PCA,,,Strong,1.0,0.9,,,Primary Melanin Suppressor,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Ceramide Synth,Water,Leave-on,,-0.35,122.12,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Salicylic Acid,BHA,Active,Skin conditioning,0.5,1.0,2.0,Anti-acne; Active; Lipophilic Exfol,Lipophilic Exfol,Acne & Oily Skin; Large Pores; Uneven Texture,3.0-4.0,,Low-Moderate,0.0,Avoid in aspirin/salicylate allergy,Strong,1-3 days,0.85,Niacinamide,Strong AHAs,Avoid in pregnancy at high doses; photosensitivity at high %,Strong,1.0,0.85,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Lipophilic Exfol,Water,Leave-on,2.97,2.26,138.12,Mid (4-8w),1-3 days,EU: 2% max face leave-on; under-3 restriction,Tier 1: Primary Active,1.0
Hyaluronic Acid,HA,Functional,Humectant,0.1,1.0,2.0,Hydration; Hygroscopic,Hygroscopic,Hydration; Aging & Fine Lines; Barrier Repair,4.5-7.5,,Low,0.0,Safe,Strong,Immediate,0.75,Panthenol,,,Strong,1.0,0.75,,,,Strong Clinical,7.0,8.0,Unknown,Humectant,Hygroscopic,Water,Leave-on,,-1.5,>1M,Immediate,Immediate,,Tier 3: Bioactive Base,0.5
Glycolic Acid,AHA,Active,Skin conditioning,5.0,8.0,12.0,Exfoliation / Texture; Active; Ionic Bond Break,Ionic Bond Break,Uneven Texture; Dullness; Aging & Fine Lines; Pigmentation; Acne & Oily Skin,3.2-3.9,,Moderate-High,0.0,Safe; avoid sun exposure after use,Strong,1-2 weeks,0.8,Lactic Acid,Use with caution alongside Retinoids; avoid on compromised barrier; do not layer with BHA,Photosensitivity; irritation risk; avoid on compromised barrier,Strong,1.0,0.8,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Ionic Bond Break,Water,Leave-on,3.83,-1.11,76.05,Short (1-4w),1-2 weeks,EU: AHA sun sensitivity warning required; >10% professional only,Tier 1: Primary Active,1.0
Ceramide NP,Ceramide 3,Barrier,Barrier,0.01,0.5,1.0,Barrier Support; Lipid Layering,Lipid Layering,Barrier Repair,5.0-7.0,,Low,0.0,Safe,Strong,4 weeks,0.9,Cholesterol,,,Strong,1.0,0.9,,,,Strong Clinical,8.0,8.0,Unknown,Skin Conditioning,Lipid Layering,Oil,Leave-on,,>5,583.96,Mid (4-8w),4 weeks,,Tier 3: Bioactive Base,0.5
Panthenol,Pro-Vit B5,Functional,Humectant,1.0,2.0,5.0,Soothing; Hydration; Fibroblast Prolif,Fibroblast Prolif,Hydration; Barrier Repair,4.0-7.0,,Low,0.0,Safe,Strong,Immediate,0.7,Niacinamide,,,Strong,1.0,0.7,,,,Strong Clinical,7.0,8.0,Unknown,Humectant,Fibroblast Prolif,Water,Leave-on,,-1.23,205.25,Immediate,Immediate,,Tier 2: Secondary Active,0.8
Azelaic Acid,Dicarboxy Acid,Active,Skin conditioning,5.0,10.0,20.0,Soothing; Active; Antimicrobial,Antimicrobial,Redness; Acne & Oily Skin; Pigmentation; Dullness,4.0-6.5,,Low-Moderate,0.0,Safe,Strong,4-12 weeks,0.8,Niacinamide,Strong AHAs,,Strong,1.0,0.8,,,Primary Melanin Suppressor,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Antimicrobial,Water,Leave-on,4.55,1.4,188.22,Long (8w+),4-12 weeks,EU: Cosmetic use up to 10%; >10% prescription only,Tier 1: Primary Active,1.0
Matrixyl 3000,Peptide Mix,Active,Skin conditioning,1.0,3.0,5.0,Anti-aging; Active; Matrikine Signal,Matrikine Signal,Aging & Fine Lines,5.0-7.0,,Low,0.0,Safe,Strong,8-12 weeks,,Hyaluronic Acid,Strong Acids,,Strong,1.0,,,,,Moderate,10.0,8.0,Unknown,Skin Conditioning,Matrikine Signal,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Argireline,Hexapeptide-8,Active,Skin conditioning,3.0,5.0,10.0,Expression; Active; Neurotransmit,Neurotransmit,Aging & Fine Lines,5.0-7.0,,Low,0.0,Safe,Moderate,4 weeks,,Hyaluronic Acid,,,Moderate,0.7,,,,,Limited / Emerging,10.0,6.0,Unknown,Skin Conditioning,Neurotransmit,Water,Leave-on,,,,Mid (4-8w),4 weeks,,Tier 2: Secondary Active,0.8
Centella Asiatica,Cica,Active,Skin conditioning,1.0,3.0,10.0,Soothing; Active; Triterpene,Triterpene,Barrier Repair; Sensitive Skin; Redness,5.0-7.0,,Low,0.0,Safe,Strong,1 week,0.75,Ceramides,,,Strong,1.0,0.75,,,,Strong Clinical,10.0,8.0,Unknown,Skin Conditioning,Triterpene,Both,Leave-on,,,,Mid (4-8w),1 week,,Tier 2: Secondary Active,0.8
