INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role
Luffa Cylindrica Extract,,Active,"Luffa Cylindrica Extract, also known as sponge gourd or loofah, is derived from the fruit of the Luf",,,,"Luffa cylindrica extract offers benefits such as:
- Provides gentle exfoliation, helping to remove dead skin cells, dirt, and impurities from the ski",Luffa Cylindrica extract is a natural plant extract which provides antioxidant protection against free radicals.,"[' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Linolenic Acid,,Active,"Alpha Linolenic Acid (ALA) is a plant-based Omega 3 fatty acid, found in plant oils such as flaxseed",,,,"Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving It's ability to retain moisture and nutrients.
- Su","Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a cruc","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Licorice Extract,,Active,"It has been shown to prevent and reverse UV-induced skin damage, to provide visible skin-lightening ",,,,"Licorice root extract offers benefits such as:
- Provides anti-inflammatory benefits, helping to calm and reduce redness or irritation in the skin.
",Licorice extract is derived from the root of the licorice plant (glycyrrhiza glabra) and is a popular skincare ingredient known for its potential anti,"[' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,Primary Melanin Suppressor
Natural Moisturising Factors,,Active,"They are a substance produced by the body, made up of minerals, lactate, urea, amino acids & humecta",,,,"NMFs offer benefits such as:
- Provide essential hydration to the skin, attracting and retaining moisture from the environment.
- Help maintain the sk","Natural Moisturizing Factors (NMFs) are a group of naturally occurring substances found in the skin's outermost layer, the stratum corneum. They play ","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Radiance', ' ', 'Texture']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Licochalcone A,,Active,Licochalcone A is a naturally occurring compound found in the root extract of the licorice plant (Gl,,,,"Licochalcone A offers benefits such as:
- Acts as an antioxidant, protecting the skin from oxidative stress caused by free radicals.
- Can help impr","Derived from licorice, this ingredient has shown to protect skin against damage from high energy visible light (HEVIS), and is more effective at this ","[' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Naringenin Chalcone,,Active,"Naringenin chalcone is a flavonoid compound derived from citrus fruits, particularly grapefruits. In",,,,"Naringenin Chalcone offers benefits such as:
- Provides antioxidant benefits, helping to neutralize free radicals and protect the skin from environme","A plant polyphenol that occurs naturally in the skin of citrus fruits, this works to calm reactive skin as well as reduce associated redness.","[' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Myristoyl Nonapeptide,,Active,Myristoyl Nonapeptide-3 is a anti-aging peptide that increases cell turnover and collagen synthesis ,,,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Myristol Pentapeptide,,Active,Myristoyl pentapeptide is an anti-aging peptide that promotes cell regeneration and is used in skinc,,,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Milk Thistle Extract,,Active,Milk thistle extract is derived from the seeds of the milk thistle plant (Silybum marianum). In skin,,,,"Milk thistle extract offers benefits such as:
- Provides antioxidant benefits, helping to neutralize free radicals and protect the skin from environm","Milk thistle extract is used in skincare for its soothing and skin-restoring abilities, as well as its antioxidant abilities. It can also be known sil","[' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Myristol Hexapeptide,,Active,"A synthetic, fatty acid-linked peptide known to improve the skin's resilience, visibly calm, and hel",,,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Mushroom Extract,,Active,"Mushroom extracts are derived from various types of mushrooms, such as shiitake, reishi, and chaga. ",,,,"Mushroom extracts offer benefits such as:
- Provide anti-inflammatory benefits, helping to soothe and calm irritated or sensitive skin.
- Act as ant",Mushroom Extract is used in skincare to naturally brighten the skin and reduce hyperpigmentation.,"[' ', 'Pigmentation', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Moringa Seed Extract,,Active,"Moringa seed extract is derived from the seeds of the Moringa oleifera tree, also known as the ""Mira",,,,"Moringa seed extract offers benefits such as:
- Provides nourishment and hydration to the skin, helping to maintain its moisture balance.
- Acts as ","Moringa seeds contain a wealth of over 30 antioxidants, helping to provide protection against free radical damage. It also contains Vitamins A, C, and","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Marshmallow Root,,Active,"Marshmallow root is extracted from the Althea plant, native to Northern Africa, Europe and Western A",,,,"Marshmallow root offers benefits such as:
- Provides excellent hydration and moisture retention, helping to keep the skin soft and supple.
- Assists","Marshmallow root extract is derived from the root of the marshmallow plant (Althaea officinalis). In skincare, it is used for its potential soothing, ","[' ', 'Redness', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Mineral UV Filters,,Active,"Mineral UV filters are naturally-occurring mineral powders, used in sun protection products to absor",,,,"Mineral UV filters offer benefits such as:
- Provide broad-spectrum protection against UVA and UVB rays, effectively shielding the skin from sunburn ","Mineral UV filters, also known as physical or inorganic UV filters, are naturally occurring mineral compounds used in sunscreens for their ability to ","[' ', 'Anyone']",,,,,"[' ', 'May leave a white cast on darker skin']",Limited,,,,"[' ', 'May leave a white cast on darker skin']",,Limited,0.4,,,,
Marine Extract,,Active,"Rich in essential ions like Zinc and Copper, marine extracts natural ingredients perfectly enhance s",,,,"Marine extract has anti-aging properties that will help achieve a radiant and smooth surface, and healthy appearance. ","Marine extracts act as humectants in the skin, revealing a supple, smooth, and youthful surface.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Mango Seed Butter,,Active,"Mango seed butter, also known as mango kernel butter or mango butter, is a rich and creamy emollient",,,,"Mango seed butter offers benefits such as:
- Provides deep and long-lasting moisturization, helping to restore and maintain the skin's natural barrie","Mango seed butter is an effective emollient in skincare. It has a rich, nourishing texture which helps to support the natural lipid barrier to prevent","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Palmitoyl Oligopeptide,,Active,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific ",,,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Palmitoyl Nonapeptide,,Active,Palmitoyl nonapeptide is an anti-ageing peptide that can help the skin feel hydrated and supple for ,,,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Palmitoyl Pentapeptide,,Active,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific ",,,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Palmitoyl Glycine,,Active,"A key amino acid in the formation of collagen, this ingredient works to increase microcirculation, i",,,,"Palmitoyl glycine offers benefits such as:
- Promotes skin firmness and elasticity by stimulating the production of collagen and other skin-supportin","Palmitoyl Glycine is a peptide-based skincare ingredient derived from a combination of the amino acid glycine and palmitic acid, a fatty acid. In skin","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Palmitoyl Heptapeptide,,Active,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific ",,,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Palmitoyl Decapeptide,,Active,"Palmitoyl oligopeptides are peptide or small proteins, characterized by a generic structure of a str",,,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Oligopeptide,,Active,Oligopeptides are short chains of amino acids that can mimic the natural DNA structure and interfere,,,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Padina Pavonica Thallus Extract,,Active,"Padina pavonica, also known as peacocks tail, is a brown algae native to the Mediterranean coast. It",,,,"Shown to have anti-pollution effects, protecting skin against free radicals.","Is a brown algae native to the Mediterranean coast. It is rich in polysaccharides, which provide humectant properties, meaning they can draw water mol","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Oat Extract,,Active,"Oat extract is known to have soothing, anti-inflammatory effects in the skin, and is a popular activ",,,,"Oat extract offers benefits such as:
- Soothes and calms irritated or sensitive skin, providing relief from itching and redness.
- Provides excellen","Oat extract is derived from the seeds of the oat plant (Avena sativa). In skincare, it is used for its potential soothing, moisturizing, and anti-infl","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Pregnancy', ' ', 'Texture']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Octinoxate,,Active,Octinoxate/Ethylhexyl Methoxycinnamate is a synthetic UV filter used in sun care products to provide,,,,"As with other synthetic UV filters, it works by absorbing UVB light in the outer layers of the epidermis, then converting it into heat (to neutralise ","A clear, oil-soluble, liquid and one of the most commonly used synthetic sunscreen ingredients. It protects against UVB light therefore offering SPF p","[' ', 'UV Protection']",,,,,"[' ', 'Pregnancy', ' ', 'Sensitive']",Limited,,,,"[' ', 'Pregnancy', ' ', 'Sensitive']",,Limited,0.4,,Primary UV Filter,Primary UV Block,Primary UV Block
Polyhydroxy Acids,,Active,Polyhydroxy acids (PHAs) work by gently dissolving the keratin that binds our outermost layer of ski,,,,"PHAs offer benefits such as:
- Exfoliate the skin's surface, helping to remove dead skin cells and improve skin texture.
- Promote skin renewal and ",Polyhydroxy Acids (PHAs) are a group of gentle chemical exfoliants used in skincare. They are milder alternatives to traditional alpha hydroxy acids (,"[' ', 'Acne', ' ', 'Blackheads', ' ', 'Dry and dehydrated skin', ' ', 'Enlarged Pores', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Post Blemish Mar",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Porphyridium Cruentum Extract,,Active,"A type of red algae rich in polysaccharides, which helps to retain moisture and hydrate the skin. Th",,,,Helps to moisturise the skin with some benefits including the treatment of wrinkles and fine lines.,"A type of red algae rich in polysaccharides, which helps to retain moisture and hydrate the skin.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Polyporus Umbellatus (Mushroom) Extract,,Active,Polyporus umbellatus (mushroom) extract is a type of medicinal mushroom used in skincare for its ant,,,,"Polyporus umbellatus (mushroom) extract contains naturally occurring kojic acid, which is a known tyrosinase inhibitor. Tyrosinase in an enzyme involv","Polyporus umbellatus (mushroom) is a species of medicinal mushroom, typically found growing on roots of old beeches or oak. It has been used for centu",[],,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Phytic Acid,,Active,"Phytic acid is technically an alpha-hydroxy acid (AHA), although its exfoliating effects are very mi",,,,"Phytic acid offers benefits such as:
- Acts as a gentle exfoliant, helping to remove dead skin cells and promote skin renewal.
- Has antioxidant pro","Phytic acid is a naturally occurring compound found in plant-based foods. In skincare, it is used for its potential exfoliating and antioxidant proper","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Plankton Extract,,Active,"Plankton Extract has nourishing and hydrating properties which can benefit those with dry skin, and ",,,,"It promotes elasticity in the skin, and cell regeneration. It hydrates the skin and is a great antioxidant to protect against free radicals and pollut",Plankton is an extract of marine plankton and comes as a colorless or light yellow liquid with a characteristic odor.,"[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Perfluorodecalin,,Active,"Perfluorodecalin is a synthetic active, used in skincare to dissolve and deliver oxygen into the ski",,,,"Perfluorodecalin offers benefits such as:
- Enhances oxygen delivery to the skin, promoting improved skin metabolism and overall skin health.
- Acts",Perfluorodecalin is a synthetic fluorinated liquid that is used in cosmetics for its unique properties related to oxygen and gas exchange.,"[' ', 'Acne', ' ', 'Blackheads', ' ', 'Redness', ' ', 'Radiance']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Phospholipids,,Active,"Phospholipids are comprising of fatty acids, glycerol & phosphate. They are in the class of essentia",,,,"Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving It's ability to retain moisture and nutrients.
- Su","Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a cruc","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Palmitoyl  Tripeptide-1,,Active,Palmitoyl tripeptide-1 is a synthetic fatty acid-linked peptide that can help repair visible skin da,,,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Pentapeptide,,Active,Pentapeptide is a biomimetic peptide that helps the skin become less sensitive by neutralising signa,,,,"On the skin, it has been shown to reduce signs of sensitisation, including visibly reducing redness.","A biomimetic (a synthetic ingredient that mimics the processes of a natural ingredient) peptide that contains the amino acids arginine, histidine, phe","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Palmitoyl Tetrapeptide,,Active,"Palmitoyl tetrapeptide is a synthetic peptide composed of the amino acids glutamine, glycine, argini",,,,It works as a skin-restoring ingredient and is noted for its soothing ability since it can interrupt factors within skin that lead to signs of irritat,"A synthetic peptide composed of the amino acids glutamine, glycine, arginine, and proline.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Parachlorella Beijerinckii Exopolysaccharides,,Active,Parachlorella Beijerinckii Exopolysaccharides is an effective in anti-aging and a skin tone evening ,,,,"It promotes elasticity in the skin, and cell regeneration. It hydrates the skin and is a great antioxidant to protect against free radicals and pollut",An ingredient used in skincare as an effective in anti-aging and a skin tone evening ingredient,"[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Palmitoyl Tripeptide,,Active,"Categorized as a “messenger peptide” because of its ability to “tell” skin how to look better, speci",,,,Helps strengthen skin’s underlying supportive elements. Backed by research for minimizing the appearance of wrinkles.,A synthetic fatty acid-linked peptide that can help repair visible skin damage and strengthen skin’s underlying supportive elements.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Neurophroline,,Active,"An incredibly innovative ingredient, Neurophroline is derived from the Wild Indigo plant and has mul",,,,"Neurophroline offers benefits such as:
- Reduces the appearance of stress-induced skin aging, such as fine lines and wrinkles caused by daily stresso",Neurophroline is a patented cosmetic ingredient derived from the wild indigo plant (Tephrosia purpurea). It is known for its soothing and anti-stress ,"[' ', 'Acne', ' ', 'Dry and dehydrated skin', ' ', 'Redness', ' ', 'Radiance', ' ', 'Texture']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Retinyl Propionate,,Active,Retinyl Propionate is a part of the vitamin A family of ingredients and is an ester of retinol and p,,,,"This ingredient is an antioxidant that stimulates collagen production, treating fine lines, wrinkles and a reduction of elasticity in the skin which c","An ester of retinol and propionic acid, designed to improve stability and skin tolerability compared to retinol. It is the most effective of the retin","[' ', 'Elasticity', ' ', 'Enlarged Pores', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Texture', ' ', 'Wrinkles']",,,,,"[' ', 'Pregnancy', ' ', 'Sensitive', ' ', 'Impaired skin barrier']",Limited,,,,"[' ', 'Pregnancy', ' ', 'Sensitive', ' ', 'Impaired skin barrier']",,Limited,0.4,,,,
Red Algae,,Active,"Algae is an incredibly interesting natural ingredient source. It is essentially an underwater plant,",,,,"Red algae offers benefits such as:
- Provides excellent hydration to the skin, helping to improve moisture retention and skin barrier function.
- Co","Red algae are marine plant organisms that are rich in nutrients and minerals. In skincare, red algae extracts are used for their potential hydrating, ","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Pregnancy', ' ', 'Texture']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Pseudoalteromonas Exopolysaccharides,,Active,Pseudoalteromonas Exopolysaccharides are biotechnological marine alternatives to famous IT-moisturis,,,,Helps to moisturise the skin with some benefits including the treatment of wrinkles and fine lines.,"It is rich in the same monosaccharide, called glucuronic acid, as Hyaluronic Acid, and has a similar effect on the skin.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Potassium Azeloyl Diglycinate,,Active,Potassium Azeloyl Diglycinate (PAD) is a water-soluble derivative of azelaic acid which conveys many,,,,"PAD offers benefits such as:
- Helps regulate sebum production, making it beneficial for oily and acne-prone skin.
- Brightens the skin and promotes",Potassium Azeloyl Diglycinate is a multifunctional skincare ingredient derived from azelaic acid and glycine. It is used in cosmetics for its potentia,"[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores', ' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnan",,,,,"[' ', 'Related Allergy', ' ', 'Gluten Allery']",Limited,,,,"[' ', 'Related Allergy', ' ', 'Gluten Allery']",,Limited,0.4,,,,
Probiotics,,Active,"Probiotics can be defined as living bacteria which are good for the skin, and are useful to include ",,,,"Probiotics offer benefits such as:
- Help maintain a balanced and healthy skin microbiome by supporting the growth of beneficial bacteria.
- Strengt","Probiotics are live beneficial microorganisms that provide various health benefits when applied to the skin. In skincare products, probiotics are used","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Redness', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Prickly Pear Extract,,Active,"Prickly pear is a cactus native to Mexico, and is used in skincare for its soothing and hydrating pr",,,,"Prickly pear extract offers benefits such as:
- Provides deep hydration to the skin, helping to retain moisture and improve skin barrier function.
-","Prickly Pear Extract is derived from the fruit of the prickly pear cactus (Opuntia ficus-indica). In skincare, it is used for its potential hydrating,","[' ', 'Redness', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Snow Mushroom Extract,,Active,"Snow Mushroom Extract, also known as Tremella fuciformis extract, is derived from the snow mushroom,",,,,"Snow mushroom extract offers benefits such as:
- Provides intense hydration to the skin, helping to improve moisture retention and promote a plumper ","This botanical extract is very high in polysaccharides, giving it great humectant qualities. It also has anti-inflammatory properties and some researc","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Redness', ' ', 'Pregnancy', ' ', 'Texture']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Prebiotics,,Active,"Prebiotics, can be classed as a food source that encourages the growth of good bacteria on the skin.",,,,"Prebiotics offer benefits such as:
- Help maintain a balanced and healthy skin microbiome by promoting the growth of beneficial bacteria.
- Support th","Prebiotics are a type of non-digestible dietary fiber used in skincare products to support the skin's microbiome, which consists of beneficial bacteri","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Redness', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Sesame Seed Oil,,Active,"Sesame Oil is a vegetable oil derived from sesame seeds (Sesamum indicum). In skincare, it is used f",,,,"Sesame oil offers benefits such as:
- Provides deep moisturization to the skin, helping to improve skin hydration and maintain a soft and supple comp","Sesame oil is derived from the sesame seed, and is rich in omega 6 and vitamin E. It helps to support the skin's natural lipid barrier, keeping skin m","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Silk Protein,,Active,"Silk Protein is a natural protein derived from silkworm cocoons. In skincare, it is used for its pot",,,,"Silk protein offers benefits such as:
- Provides moisture to the skin, helping to improve hydration and maintain a soft and smooth complexion.
- Act",Silk protein is used in skincare to add hydration to the skin. It also contains antioxidants which offer protection against free radicals.,"[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy', ' ', 'Vegan']",Limited,,,,"[' ', 'Related Allergy', ' ', 'Vegan']",,Limited,0.4,,,,
Sh-Oligopeptide,,Active,"In It's raw form, oligopeptide is a white powder. Most of the research has been conducted by the lab",,,,"Additional research shows oligopeptide can have a positive impact on sensitive skin, helping target and improve factors that lead to visible redness.",A synthetic bio-active peptide composed of 15 amino acids.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Sea Buckthorn Water,,Active,"Sea buckthorn is a natural plant extract which contains a high concentration of vitamin c, and polyp",,,,"Sea buckthorn water offers benefits such as:
- Provides lightweight hydration to the skin, helping to improve moisture retention and maintain skin su","Sea Buckthorn Water is derived from the sea buckthorn plant (Hippophae rhamnoides). In skincare, it is used for its potential hydrating, antioxidant, ","[' ', 'Radiance', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
Saskatoon Berry,,Active,"Saskatoon Berry, also known as Amelanchier alnifolia, is a small fruit-bearing shrub native to North",,,,"Saskatoon berry offers benefits such as:
- Provides antioxidant protection, helping to neutralize free radicals and defend the skin from environmenta","Saskatoon berries are small, purple berries, rich in vitamins, minerals and antioxidants to protect from free radical damage.","[' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,
