INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk
Arginine PCA,,Active,Arginine is an amino acid that can be found in food sources such as almonds and chocolate. Arginine ,,,,Hydration,Arginine PCA is present in the "natural moisturising factors" (NMFs) which moisturise and hydrate the skin.,Uneven Texture; Hydration,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Arginine/Lysine Polypeptide,,Active,Arginine/lysine polypeptide is a skin care ingredient that slows down aging processes in the skin an,,,,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo",Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Small cosmetic studies; limited independent long-term data,4,4,Unknown
Arginine HCL,,Active,Arginine is an amino acid that can be found in food sources such as almonds and chocolate. Arginine ,,,,Hydration,Arginine HCL is present in the "natural moisturising factors (NMFs)" which moisturise and hydrate the skin.,Uneven Texture; Hydration,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Arbutin,,Active,"Arbutin, also known as alpha arbutin, can be derived from the bearberry plant, or made synthetically",,,,Arbutin; also known as alpha arbutin,"Arbutin is a natural compound found in various plant sources, such as bearberry, cranberries, and pears. It is used in skincare for its potential to b",Pigmentation; Dullness,,,,,Pregnancy,Limited,,,,"[' ', 'Pregnancy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Aquagenium,,Active,"A Bioderma exclusive ingredient, which is a blend of niacinamide and apple extract, which works to s",,,,Barrier Support; Hydration,Aquagenium is a patented complex used in skincare products to enhance the skin's natural hydration and moisture retention abilities. It is designed to,Uneven Texture; Hydration; Barrier Repair,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Apple Stem Cells,,Active,"Apple stem cells, also known as malus domestica fruit cell culture extract, occur naturally within p",,,,Anti-aging; Apple stem cells; occur naturally within p; Photoprotection,Apple stem cells are derived from the stem cells of apple plants. They are used in skincare for their potential to promote skin rejuvenation and suppo,Aging & Fine Lines; UV Damage,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Euterpe Oleracea Fruit Extract,Euterpe Oleracea Fruit Extract,Active,,,,,,,,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,[],,Limited,0.4,,,,,Moderate,4,4,Unknown
Apple Polyphenols,,Active,"Apple (like most plants), contains polyphenols, which are compounds with strong antioxidant properti",,,,Antioxidant; Soothing,Apple polyphenols are natural compounds found in apples and are known for their antioxidant and anti-inflammatory properties. They are commonly used i,UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Moderate,,,,"[' ', 'Related Allergy']",,Moderate,0.7,,,,,Moderate,5,6,Unknown
Apple Extract,,Active,"Apple extract, also known as pyrus malus extract, is used in cosmetics for its antioxidant abilities",,,,Antioxidant,"Apple extract is derived from apples and is used in skincare for its antioxidant-rich properties. It contains various vitamins, minerals, and natural ",UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Moderate,,,,"[' ', 'Related Allergy']",,Moderate,0.7,,,,,Moderate,5,6,Unknown
Anti-Ageing Peptides,,Active,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific ",,,,Anti-aging,Anti-aging peptides are synthetic or naturally derived compounds composed of short chains of amino acids. They are specifically designed to target sig,Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Small cosmetic studies; limited independent long-term data,4,4,Unknown
Amino Acids,,Active,"Amino Acids are the small building blocks that make up peptides, and proteins. Each amino acid has a",,,,Anti-aging,"Amino acids are the building blocks of peptides and proteins, each with a unique structure and role within the body.

Some examples include arginine, ",Aging & Fine Lines; Uneven Texture; Hydration,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Beta Glucan,,Active,"Beta Glucans are polysaccharides found naturally in oats, fungi, seaweed and yeast. It is best known",,,,Barrier Support; fungi; including yeast; oats,"Beta glucan is a natural polysaccharide derived from various sources, including yeast, oats, and mushrooms. It is used in skincare for its hydrating, ",Dullness; Uneven Texture; Hydration; Barrier Repair; Redness,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Azelaoyl Bis-Dipeptide,,Active,"A synthetic peptide built around naturally-derived azelaic acid. This peptide offers brightening, an",,,,Anti-aging; Brightening; an,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo",Aging & Fine Lines; Pigmentation; Dullness,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy', ' ', 'Gluten Allery']",,Limited,0.4,,,,,Small cosmetic studies; limited independent long-term data,4,4,Unknown
Avocado Ferment,,Active,"Avocado ferment is used for its nourishing, moisturizing, and skin-conditioning properties, offering",,,,Avocado ferment is rich in vitamins; minerals; and fatty acids; Hydration; and skin-conditioning properties,Avocado ferment is a skincare ingredient derived from fermented avocado fruit.,Dullness; Uneven Texture; Hydration,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Avene Thermal Water,,Active,Avene thermal spring water is sourced from a natural spring in France. It spends 50 years travelling,,,,Soothing,"Av?ne Thermal Water is a unique, natural spring water sourced from the C?vennes Mountains in Av?ne, France. It is known for its soothing, calming, and",Dullness; Uneven Texture; Hydration; Barrier Repair; Redness,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Asparagopsis Armata Extract,,Active,asparagopsis armata extract is an extract of the red algae plant. It has antioxidant properties that,,,,Antioxidant; asparagopsis armata; bonnemaisoniaceae,"Asparagopsis armata extract is an extract of the red algae, asparagopsis armata, bonnemaisoniaceae",Aging & Fine Lines; Hydration; UV Damage,,,,,Insufficient data; consult doctor before use in pregnancy,Moderate,,,,"[' ', 'Related Allergy']",,Moderate,0.7,,,,,Moderate,5,6,Unknown
Ascorbyl Palmitate,,Active,"Part of the Vitamin C family of ingredients, Ascorbyl palmitate is an oil-soluble Vitamin C ester, p",,,,,An oil-soluble Vitamin C ester.,Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy', ' ', 'Impaired skin barrier']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Cabbage Leaf Extract,,Active,Cabbage Leaf Extract is a natural extract rich in flavonoids and anthocyanins. Flavonoids are plant ,,,,Antioxidant,"Cabbage leaf extract is derived from the leaves of cabbage, a leafy vegetable belonging to the Brassica family. It is used in skincare for its potenti",UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Blue Mallow Extract,,Active,"Blue mallow extract, also known as Malva sylvestris extract or common mallow extract, is derived fro",,,,Hydration,Blue mallow extract is obtained from the flowers and leaves of the blue mallow plant (Malva sylvestris). It contains various compounds that contribute,Hydration,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Blue Lotus Extract,,Active,Blue lotus is typically used in skincare for its moisturising properties. As with most plant extract,,,,Antioxidant; Soothing; Hydration,"Blue lotus extract is derived from the flowers of the blue lotus plant, scientifically known as Nymphaea caerulea. It is used in skincare for its anti",Hydration; UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Blueberry Extract,,Active,Blueberry extract is used in skincare for its powerful antioxidant and skin conditioning properties.,,,,Antioxidant,"Blueberry extract is derived from the fruit of the blueberry plant, scientifically known as Vaccinium cyanococcus. It is used in skincare for its anti",UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Moderate,,,,"[' ', 'Related Allergy']",,Moderate,0.7,,,,,Moderate,5,6,Unknown
Bilberry Extract,,Active,"Bilberry extract is derived from the fruit of the bilberry plant, a close relative of the blueberry.",,,,Antioxidant,"Bilberry is a natural fruit, rich in antioxidants to protect from free radical damage.",Redness; UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Bio-Active Glucosides,,Active,"Derived from plants, with the ability to soothe the skin by sending signals to the relevant cells to",,,,Soothing,Bio-active glucosides are derived from various natural sources and can include plant extracts or synthesized compounds. They are known for their abili,Redness,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Chondrus Crispus,,Active,"Algae is an incredibly interesting natural ingredient source. There are many types of algae (kelp, l",,,,Hydration,"It is essentially an underwater plant, designed to get its food from sunlight, much like any other plants, although from much more challenging conditi",Aging & Fine Lines; Hydration,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Chlorophyll,,Active,"Chlorophyll, also known as chlorophyllin-copper complex, is a plant substance which is naturally hig",,,,Antioxidant; Chlorophyll; Brightening,"Chlorophyll is a green pigment found in plants and algae, responsible for their photosynthesis process. It is sometimes used in skincare for its poten",Pigmentation; Dullness; UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Chamomile Extract,,Active,"Chamomile, also known as chamomilla recutita (matricaria) flower extract, contains high levels of na",,,,Soothing; irritation; Antioxidant,"Chamomile extract is derived from the flowers of the chamomile plant, which is known for its calming and soothing properties. It is used in skincare f",Barrier Repair; Redness; UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Chlorella Protothecoides Oil,,Active,Chlorella vulgaris is a green eukaryotic microalgae that was first discovered in 1890. In skin care ,,,,Anti-aging,"Chlorella protothecoides oil is the oil derived from chlorella protothecoides grown in culture, chlorellaceae.",Aging & Fine Lines; Hydration,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Ceramides,,Active,"Ceramides are a class of ingredients, which includes ceramide ap, ceramide 3, ceramide eop, ceramide",,,,Barrier Support; ceramide,Ceramides are a type of lipid or fatty molecule that are crucial components of the skin's barrier. They form a protective layer that helps prevent moi,Dullness; Uneven Texture; Hydration; Barrier Repair; Redness,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Strong,1,,,,,Limited clinical evidence,4,4,Unknown
Chlorella Protothecoides,,Active,Chlorella protothecoides is a type of algae. Like other algae-based ingredients it has the potential,,,,Antioxidant,An antioxidant used in skincare as a thickening agent.,Aging & Fine Lines; Hydration; UV Damage,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Chemical UV Filters,,Active,Chemical UV filters are a family of ingredients also known as bis-ethylhexyloxyphenol methoxyphenyl ,,,,Photoprotection; safeguarding the skin from sunburn,"Chemical UV filters are organic compounds that work by absorbing UV rays and converting them into less harmful energy, such as heat.",UV Damage; Aging & Fine Lines,,,,,Related Allergy; Pregnancy,Limited,,,,"[' ', 'Related Allergy', ' ', 'Pregnancy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Caprooyl Sphingosine,,Active,Caprooyl Sphingosine is a mixture of fatty acids Caproic acid and Sphingosine. It acts as a precurso,,,,Barrier Support; Hydration; Essential lipids; also known as skin-identical lipids,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a cruc",Dullness; Uneven Texture; Hydration; Barrier Repair,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Caprooyl Phytosphingosine,,Active,Caprooyl Phytosphingosine is a mixture of fatty acids Caproic acid and Phytosphingosine. It acts as ,,,,Barrier Support; Hydration; Essential lipids; also known as skin-identical lipids,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a cruc",Dullness; Uneven Texture; Hydration; Barrier Repair,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Dunaliella Salina (Green Algae) Extract,,Active,"A natural source of Vitamin B12,  it?s also a rich source of beta-carotene, and conveys potent antio",,,,Soothing; Anti-aging; A natural source of Vitamin B12; and conveys potent antio; and,"A type of micro-algae that?s known for being adaptable and able to survive even in harsh natural conditions. It is a rich source of beta-carotene, and",Aging & Fine Lines; Hydration,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Dioic Acid,,Active,Dioic acid is a naturally-occurring acid found in plant and animal fats/oils. It is used in skincare,,,,Oil Control; Anti-acne; Dioic acid; also known as sebacic acid,"Dioic acid, also known as sebacic acid, is a naturally occurring dicarboxylic acid derived from certain vegetable oils or animal fats. It is used in s",Pigmentation; Aging & Fine Lines; Acne & Oily Skin,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Cucumber Extract,,Active,"Cucumber extract, also known as cucumis sativus (cucumber) fruit extract, cucumis sativus or cucumbe",,,,Hydration; Soothing; Cucumber extract; cucumis sativus or cucumbe; and s,"Cucumber extract is derived from the fruit of the cucumber plant, Cucumis sativus. It is used in skincare for its potential hydrating, soothing, and s",Hydration,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Dipeptide Diaminobutyroyl Benzylamide Diacetate,,Active,"Dipeptide diaminobutyroyl benzylamide diacetate is an anti-ageing peptide, seen as an ingredient tha",,,,Used in skincare to treat fine lines; Anti-aging; seen as an ingredient tha,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo",Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Small cosmetic studies; limited independent long-term data,4,4,Unknown
Dipeptide,,Active,"Dipeptide is an anti-ageing peptide, which facilitates the skin?s healing process and makes the skin",,,,Used in skincare to treat fine lines; Anti-aging; Dipeptide is an anti-ageing peptide,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo",Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Small cosmetic studies; limited independent long-term data,4,4,Unknown
Copper Peptide,,Active,"Copper peptides are a family of ingredients also known as copper tripeptide growth factor, tripeptid",,,,Anti-aging; tripeptid; sk,"Copper peptide is a combination of copper and peptides, which are short chains of amino acids. It is used in skincare for its potential anti-aging, sk",Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Small cosmetic studies; limited independent long-term data,4,4,Unknown
Copper Palmitoyl Heptapeptide,,Active,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific ",,,,Used in skincare to treat fine lines; Anti-aging; due to their ability to fit specific,"Copper palmitoyl heptapeptide-14 is a type of copper peptide which is made from copper, palmitic acid and peptides. It used in skincare for its abilit",Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Small cosmetic studies; limited independent long-term data,4,4,Unknown
Copper Heptapeptide-14 Pantothenate,,Active,It encapsulates copper peptides and reduces wrinkles. It helps gene expression of collagen & elastin,,,,Used in skincare to treat fine lines; Anti-aging,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo",Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Small cosmetic studies; limited independent long-term data,4,4,Unknown
Coffee Seed Extract,,Active,"Also known as coffea arabica (coffee) seed extract, this natural extract, derived from coffee beans,",,,,Antioxidant; this natural extract; derived from coffee beans; Soothing; an,"Coffee seed extract is derived from the seeds (beans) of the coffee plant. It is used in skincare for its potential antioxidant, anti-inflammatory, an",Redness; UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Cinnamon Bark,,Active,"Cinnamon bark, also known as cinnamomum zeylanicum bark extract, acts as a natural antibacterial to ",,,,Antioxidant; Cinnamon bark; acts as a natural antibacterial to,"Cinnamon bark extract is derived from the bark of the cinnamon tree, Cinnamomum verum or Cinnamomum cassia. It is used in skincare for its potential a",Acne & Oily Skin; UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Fomes Officinalis (Mushroom) Extract,,Active,Fomes of?cinalis is in a class of ingredients also known as mushroom extract and polyporus umbellatu,,,,Brightening; Pore Care; It is an active and it has astringent; Hydration,"It is an active and it has astringent, pore tightening and moisturising effects on the skin.",Dullness; Acne & Oily Skin; Large Pores; Pigmentation; Hydration,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Ginkgo Biloba,,Active,"Ginkgo Biloba is a tree native to Asia, one of the oldest plant species on the planet, and rich in f",,,,Antioxidant; Ginkgo Biloba is a tree native to Asia; and rich in f,"Ginkgo biloba extract is derived from the leaves of the Ginkgo biloba tree, one of the oldest tree species on Earth. It is used in skincare for its po",Redness; UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Feverfew Extract,,Active,"Feverfew has been used in ancient medicine for centuries to treat everything from headaches, constip",,,,Soothing; constip,Feverfew extract is derived from the leaves and flowers of the feverfew plant (Tanacetum parthenium). It is used in skincare for its potential anti-in,Redness,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Ferric Hexapeptide,,Active,Ferric hexapeptide is an anti-ageing peptide and is used in skincare to treat fine lines and wrinkle,,,,Used in skincare to treat fine lines; Anti-aging,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing respo",Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Small cosmetic studies; limited independent long-term data,4,4,Unknown
Fernblock,,Active,"Known as FernBlock, this is a patented active from Heliocare, developed alongside Harvard medical sc",,,,Antioxidant; Known as FernBlock; this is a patented active from Heliocare; developed alongside Harvard medical sc; FernBlock,"FernBlock, a patented active developed in collaboration with Harvard Medical School by Heliocare, is derived from a tropical fern native to South Amer",UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,10,4,Unknown
Essential Lipids,,Active,"The outer layer of the skin, the stratum corneum, has a multilamellar structure (essentially a fine ",,,,Barrier Support; Hydration; The outer layer of the skin; the stratum corneum; Essential lipids; also known as skin-identical lipids,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a cruc",Dullness; Uneven Texture; Hydration; Barrier Repair; Redness,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Endothelyol,,Active,Endothelyol is used in skincare to target redness and rosacea. It provides a soothing effect by regu,,,,making it ideal for; Soothing,Endothelyol is a skincare ingredient known for its potential anti-redness and anti-inflammatory properties. It is derived from a plant extract and is ,Barrier Repair; Redness,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Ethylhexyl Salicylate,,Active,Ethylhexyl Salicylate is a synthetic UV filter used in sun care products to protect against UVB radi,,,,Photoprotection; it's always used in,Ethylhexyl Salicylate is a synthetic sunscreen ingredient is used in sun care products to offer SPF protection to the skin. It is a colourless to ligh,UV Damage; Aging & Fine Lines,,,,,Pregnancy; Sensitive,Limited,,,,"[' ', 'Pregnancy', ' ', 'Sensitive']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Ethyl Ascorbic Acid,,Active,"Part of the Vitamin C family of ingredients, L-ascorbic acid is designed to improve its stability an",,,,Brightening; Anti-aging; Ethyl Ascorbic Acid is a stable,"Ethyl Ascorbic Acid is a stable, water- and oil-soluble derivative of pure vitamin C.",Dullness; Aging & Fine Lines; Pigmentation,2.5-3.5,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy', ' ', 'Impaired skin barrier']",,Limited,0.4,,,Primary Antioxidant Support,,Limited clinical evidence,4,4,Unknown
Green Tea,,Active,"Green Tea is a natural plant extract, rich in polyphenols, also known as catechins. Green Tea is par",,,,Antioxidant; Green Tea is a natural plant extract; rich in polyphenols; Soothing; a,"Green tea extract is derived from the leaves of the Camellia sinensis plant. It is used in skincare for its powerful antioxidant, anti-inflammatory, a",Dullness; Redness; UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Glycosphingolipids,,Active,Glycosphingolipids are naturally occurring in the skin and are involved in the skin?s natural cerami,,,,Barrier Support; Hydration; Essential lipids; also known as skin-identical lipids,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a cruc",Dullness; Uneven Texture; Hydration; Barrier Repair,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Glycoproteins,,Active,"Glycoproteins is in the class of essential lipids, they can be found on ingredient lists as caprooyl",,,,Barrier Support; Hydration; Essential lipids; also known as skin-identical lipids,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a cruc",Dullness; Uneven Texture; Hydration; Barrier Repair,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Glycolipids,,Active,Glycolipids are made up of a sugar monomer (monosaccharide) and a lipid. This is the umbrella term e,,,,Barrier Support; Hydration; Essential lipids; also known as skin-identical lipids,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a cruc",Hydration; Barrier Repair,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Golden-Eye Grass Complex,,Active,An antioxidant and anti-inflammatory plant extract which has been shown to balance the pH of the ski,,,,Antioxidant; Soothing; Barrier Support,"An antioxidant and anti-inflammatory plant extract which has been shown to balance the pH of the skin, keeping the natural lipid barrier functioning a",Barrier Repair; Redness; UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Moderate,,,,"[' ', 'Related Allergy']",,Moderate,0.7,,,,,Moderate,5,6,Unknown
Glyceryl Glucoside,,Active,Glyceryl Glucoside is used in skincare for its hydrating abilities. It works by stimulating the prod,,,,Hydration; helping to keep it plump a,Glyceryl glucoside is a natural humectant and skin-conditioning agent derived from glucose (sugar) and glycerin. It is used in skincare for its excell,Dullness; Uneven Texture; Hydration; Barrier Repair,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Indian Gooseberry,,Active,"Indian gooseberry (also known as amla) has one of the highest concentrations of any fruit, of antiox",,,,Antioxidant; of antiox; Indian Gooseberry; also known as Amla (Emblica officinalis),"Indian Gooseberry, also known as Amla (Emblica officinalis), is a fruit widely used in traditional Ayurvedic medicine and is known for its rich vitami",Redness; UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Hydrolyzed Pumpkin Seedcake,,Active,Hydrolyzed pumpkin seedcake is a protein derived from pumpkin seeds. It is a very good source of Vit,,,,Antioxidant,"Hydrolyzed pumpkin seedcake is a complex of peptides and amino acids obtained from pumpkin seeds, which are rich in nutrients beneficial for the skin.",Aging & Fine Lines; Uneven Texture; Hydration; Barrier Repair; Redness; UV Damage,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Hydrolyzed F-Fucoidan,,Active,Hydrolyzed f-fucoidan is derived from various species of algae and is comprised of sulfated esters o,,,,Antioxidant,Hydrolyzed f-fucoidan is the hydrolysate of f-fucoidan derived by acid enzyme or other method of hydrolysis; f-fucoidan is derived from various specie,Aging & Fine Lines; Hydration; UV Damage,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
Humectants,,Active,Humectants are a hydrophilic (water-loving) family of ingredients. They can also be known as disodiu,,,,Hydration,Humectants are a class of skincare ingredients known for their moisture-attracting properties. They play a vital role in skincare products by drawing ,Dullness; Aging & Fine Lines; Uneven Texture; Hydration; Barrier Repair,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,7,4,Unknown
Hibiscus Fruit Extract,,Active,Hibiscus fruit extract is derived from the flowers of the Hibiscus sabdariffa plant. It is used in s,,,,Antioxidant,Hibiscus fruit extract is a natural plant extract containing high levels of polyphenols which provide antioxidant protection against free radicals.,UV Damage; Aging & Fine Lines,,,,,Insufficient data; consult doctor before use in pregnancy,Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,,Moderate,4,4,Unknown
